品牌名,价格,商品名称,商品编号,店铺,商品毛重,商品产地,酒精度,包装规格,容量,口味,适用场景,加工工艺
"
猫白白白桃果酒6度微醺女生酒单瓶装375ml",69.00,猫白白白桃果酒,100021076156,空,0.68kg,中国大陆,3%-7%vol,瓶装,375mL以下,桃子,家庭聚会，朋友小聚，自斟自饮,发酵果酒
"
",46.00,网易严选微醺荔枝酒 500毫升,100009842225,空,1.15kg,江苏苏州,300248355,3%-7%vol,瓶装,375mL-749mL,其他,闺蜜私语，家庭聚会，朋友小聚,发酵果酒
"
向往的生活X十七光年果酒草莓味柠檬味甜酒微醺女生酒礼盒装330ml/盒*2瓶柠檬味两支装",99.00,十七光年CMNMHH,10030428314336, ,1.7kg,空,3%-7%vol,礼盒装,375mL以下,其他,朋友小聚，野餐出游，自斟自饮,发酵果酒
"
",229.00,网易严选桂花酿米酒 500毫升,100012140642,空,6.93kg,上海崇明,300185164,3%-7%vol,整箱装,375mL-749mL,其他,闺蜜私语，派对必备，自斟自饮,发酵果酒
"
",50.00,MissBerryBRTX0054,100020254880,空,0.7kg,中国大陆,BRTX0054,3%-7%vol,礼盒装,375mL以下,混合,闺蜜私语，朋友小聚，情侣约会,发酵果酒
"
",13.00,本味寒造果酒,100009878925,空,330.00g,中国大陆,3%-7%vol,瓶装,375mL以下,青梅,闺蜜私语，朋友小聚，自斟自饮,发酵果酒
"
白鸟花果酒系列米酒桂花玫瑰青梅白桃茉莉杨梅酒糯米精酿女士酒清酒甜酒低度数组合装【人气爆款】青梅+白桃+桂花500mL(3瓶装）",477.00,白鸟花果酒系列米酒 桂花玫瑰青梅白桃茉莉杨梅酒糯米精酿女士酒清酒甜酒低度数 组合装 【人气爆款】青梅+白桃+桂花 500mL(3瓶装）,10023047923425, ,1.268kg,空,3%-7%vol,礼盒装,375mL-749mL,青梅，其他,家庭聚会，礼节拜访，自斟自饮,发酵果酒
"
【周扬青推荐】MissBerry贝瑞甜心果酒榛子海盐可可酒巧克力果酒榛子海盐可可酒巧克力果酒",59.00,MissBerryBRTX0054,10026477507005, ,0.7kg,中国大陆,空,BRTX0054,空,3%-7%vol,空,礼盒装,空,375mL以下,空,其他,空,闺蜜私语，家庭聚会，朋友小聚,发酵果酒
"
",25.00,通明山果酒,100011274565,空,0.64kg,中国大陆陕西省,3%-7%vol,瓶装,375mL以下,其他,派对必备，朋友小聚，野餐出游,发酵果酒
"
威兰特果小酒混合装（桔橙、青梅、蜜桃、红西柚）200ml*6瓶纯发酵低度甜酒",108.00,威兰特果小酒件,10028141764163,空,2.715kg,3%-7%vol,空,瓶装,375mL以下,青梅，其他,闺蜜私语，派对必备，朋友小聚,发酵果酒
"
威兰特果小酒桔橙味果酒200ml*6瓶纯发酵低度甜酒",108.00,威兰特果小酒件,10028141764159,空,2.715kg,3%-7%vol,空,瓶装,375mL以下,青梅，其他,闺蜜私语，派对必备，朋友小聚,发酵果酒
"
侍魂小萄气小tao气葡萄水果酒女士低度甜酒果酒少女女生原果发酵低度微醺系晚安酒低度酒小甜水柠檬百香果300ml*2",75.90,侍魂小萄气小tao气葡萄水果酒 女士低度甜酒果酒 少女女生原果发酵 低度微醺系晚安酒低度酒小甜水 柠檬百香果300ml*2,10029639429531, ,300.00g,空,3%-7%vol,瓶装,375mL以下,葡萄，混合,闺蜜私语，家庭聚会，朋友小聚,发酵果酒
"
猫白白白桃果酒6度微醺女生酒单瓶装375ml",69.00,猫白白白桃果酒,100020806180,空,0.68kg,中国大陆,3%-7%vol,瓶装,375mL以下,桃子,家庭聚会，朋友小聚，自斟自饮,发酵果酒
"
白鸟花果酒系列酒桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数小瓶装10度白桃米酒200mL",79.00,白鸟花果酒系列酒 桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数 小瓶装 10度 白桃米酒 200mL,10025082034557, ,0.56kg,中国大陆,3%-7%vol,礼盒装,375mL以下,青梅，其他,礼节拜访，朋友小聚，商务宴请,发酵果酒
"
白鸟花果酒系列米酒桂花玫瑰青梅白桃茉莉杨梅酒糯米精酿女士酒清酒甜酒低度数组合装【人气爆款】青梅+白桃+桂花200mL(3瓶装）",237.00,白鸟花果酒系列米酒 桂花玫瑰青梅白桃茉莉杨梅酒糯米精酿女士酒清酒甜酒低度数 组合装 【人气爆款】青梅+白桃+桂花 200mL(3瓶装）,10023047923424, ,1.268kg,空,3%-7%vol,礼盒装,375mL-749mL,青梅，其他,家庭聚会，礼节拜访，自斟自饮,发酵果酒
"
六珍液山楂酒老山楂酒甜酒7080小时候的味道东北特产餐前低度果酒女士酒500ml山楂酒500ml单瓶装【拍3发4】",12.80,六珍液 山楂酒 老山楂酒甜酒 7080小时候的味道东北特产餐前低度果酒 女士酒 500ml 山楂酒 500ml 单瓶装【拍3发4】,66679158117, ,0.8kg,空,3%-7%vol,瓶装,375mL-749mL,其他,酒吧夜店，野餐出游，自斟自饮,发酵果酒
"
白鸟花果酒系列米酒桂花玫瑰青梅白桃茉莉杨梅酒糯米精酿女士酒清酒甜酒低度数组合装青梅+桂花+玫瑰+茉莉+杨梅+白桃200mL6瓶装",474.00,白鸟花果酒系列米酒 桂花玫瑰青梅白桃茉莉杨梅酒糯米精酿女士酒清酒甜酒低度数 组合装 青梅+桂花+玫瑰+茉莉+杨梅+白桃200mL6瓶装,10028468654890, ,1.268kg,空,3%-7%vol,礼盒装,375mL-749mL,青梅，其他,家庭聚会，礼节拜访，自斟自饮,发酵果酒
"
向往的生活X十七光年果酒草莓味柠檬味甜酒微醺女生酒礼盒装330ml/盒*2瓶草莓味两支装",99.00,十七光年CMNMHH,10030428314335, ,1.7kg,空,3%-7%vol,礼盒装,375mL以下,其他,朋友小聚，野餐出游，自斟自饮,发酵果酒
"
黑尚莓冰莓酒树莓酒洋酒起泡酒微醺果酒低度酒水果酒覆盆子酒气泡酒果味酒冰梅酒2000ml*2桶",256.00,黑尚莓冰莓酒 树莓酒 洋酒 起泡酒 微醺果酒 低度酒 水果酒 覆盆子酒 气泡酒 果味酒 冰梅酒 2000ml*2桶,68843848171, ,1.8kg,中国大陆,3%-7%vol,瓶装,1.5L及以上,混合,派对必备，朋友小聚，自斟自饮,发酵果酒
"
澳迪尼红动炫泡水果酒女士汽酒330ml6瓶各个口味各一瓶",34.50,澳迪尼红动炫泡水果酒女士汽酒330ml 6瓶各个口味各一瓶,10020206697184, ,1.0kg,中国大陆,3%-7%vol,瓶装,375mL以下,其他,闺蜜私语，朋友小聚，野餐出游,发酵果酒
"
通明山山楂酒整箱经典老味道水果酒女士低度甜酒70年代5度山楂酒送礼红酒山楂酒500ml双支装",32.90,通明山 山楂酒整箱 经典老味道水果酒 女士低度甜酒 70年代5度山楂酒 送礼红酒 山楂酒500ml双支装,71846964859, ,1.0kg,中国大陆,3%-7%vol,瓶装,375mL-749mL,其他,家庭聚会，朋友小聚，自斟自饮,发酵果酒
"
六珍液山楂酒老山楂酒甜酒7080小时候的味道东北特产餐前低度果酒女士酒500ml山楂酒500ml6瓶（散装）",65.00,六珍液 山楂酒 老山楂酒甜酒 7080小时候的味道东北特产餐前低度果酒 女士酒 500ml 山楂酒 500ml 6瓶（散装）,66679158119, ,0.8kg,空,3%-7%vol,瓶装,375mL-749mL,其他,酒吧夜店，野餐出游，自斟自饮,发酵果酒
"
澳迪尼红动月夕果酒低度女士甜酒265ml6种口味混合装6瓶",78.00,澳迪尼红动月夕果酒低度女士甜酒265ml  6种口味混合装6瓶,72065702870, ,100.00g,中国大陆,3%-7%vol,瓶装,375mL以下,其他,闺蜜私语，朋友小聚，自斟自饮,发酵果酒
"
【品乐侍酒】日本进口奈良丰泽酒造丰祝柚子酒日本清酒原装进口果酒",168.00,【品乐侍酒】日本进口  奈良丰泽酒造  丰祝柚子酒  日本清酒 原装进口 果酒,10027195204260, ,1.3kg,空,3%-7%vol,瓶装,375mL-749mL,其他,闺蜜私语，情侣约会，自斟自饮,发酵果酒
"
猫白白白桃果酒6度微醺女生酒单瓶装375ml",49.00,猫白白白桃果酒,100011241455,空,0.68kg,中国大陆,3%-7%vol,瓶装,375mL以下,桃子,家庭聚会，朋友小聚，自斟自饮,发酵果酒
"
白鸟花果酒系列酒桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒低度数500ml大瓶装6度青梅米酒500mL",159.00,白鸟 花果酒系列酒 桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒低度数 500ml大瓶装 6度 青梅米酒500mL,10021437672866, ,1.268kg,中国大陆,3%-7%vol,礼盒装,375mL-749mL,青梅，其他,家庭聚会，派对必备，自斟自饮,发酵果酒
"
网易严选微醺荔枝酒500毫升",69.00,网易严选 微醺荔枝酒 500毫升,10027476516925, ,1.15kg,空,3995727,3%-7%vol,瓶装,375mL-749mL,其他,闺蜜私语，情侣约会，自斟自饮,发酵果酒
"
威兰特果小酒蜜桃味果酒200ml*6瓶纯发酵低度甜酒",108.00,威兰特果小酒件,10028141764162,空,2.715kg,3%-7%vol,空,瓶装,375mL以下,青梅，其他,闺蜜私语，派对必备，朋友小聚,发酵果酒
"
白鸟花果酒系列酒桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒低度数500ml大瓶装10度白桃米酒500mL",159.00,白鸟 花果酒系列酒 桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒低度数 500ml大瓶装 10度 白桃米酒500mL,10025081551944, ,1.268kg,中国大陆,3%-7%vol,礼盒装,375mL-749mL,青梅，其他,家庭聚会，派对必备，自斟自饮,发酵果酒
"
仙的（Xiandi）果也西柚果酒低度微醺少女甜酒果汁发酵6度355ml单瓶装",48.00,仙的果也,100020818368,空,0.75kg,中国大陆,3%-7%vol,瓶装,375mL以下,其他,闺蜜私语，朋友小聚，自斟自饮,发酵果酒
"
猫白白白桃果酒6度微醺女生酒单瓶装375ml",49.00,猫白白白桃果酒,100011241455,空,0.68kg,中国大陆,3%-7%vol,瓶装,375mL以下,桃子,家庭聚会，朋友小聚，自斟自饮,发酵果酒
"
白鸟花果酒系列酒桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒低度数500ml大瓶装6度玫瑰米酒500mL",159.00,白鸟 花果酒系列酒 桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒低度数 500ml大瓶装 6度 玫瑰米酒500mL,10021437672868, ,1.268kg,中国大陆,3%-7%vol,礼盒装,375mL-749mL,青梅，其他,家庭聚会，派对必备，自斟自饮,发酵果酒
"
白鸟花果酒系列酒桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数小瓶装6度青梅米酒200mL",79.00,白鸟花果酒系列酒 桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数 小瓶装 6度 青梅米酒 200mL,10021437061257, ,0.56kg,中国大陆,3%-7%vol,礼盒装,375mL以下,青梅，其他,礼节拜访，朋友小聚，商务宴请,发酵果酒
"
白鸟花果酒系列酒桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数小瓶装10度杨梅米酒200mL",79.00,白鸟花果酒系列酒 桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数 小瓶装 10度 杨梅米酒 200mL,10025082034558, ,0.56kg,中国大陆,3%-7%vol,礼盒装,375mL以下,青梅，其他,礼节拜访，朋友小聚，商务宴请,发酵果酒
"
白鸟花果酒系列米酒桂花玫瑰青梅白桃茉莉杨梅酒糯米精酿女士酒清酒甜酒低度数组合装【早春推荐】杨梅+青梅+玫瑰200mL（3瓶装）",237.00,白鸟花果酒系列米酒 桂花玫瑰青梅白桃茉莉杨梅酒糯米精酿女士酒清酒甜酒低度数 组合装 【早春推荐】杨梅+青梅+玫瑰 200mL（3瓶装）,10025082588430, ,1.268kg,空,3%-7%vol,礼盒装,375mL-749mL,青梅，其他,家庭聚会，礼节拜访，自斟自饮,发酵果酒
"
六珍液山楂酒老山楂酒甜酒7080小时候的味道东北特产餐前低度果酒女士酒500ml山楂酒500ml2瓶+送人参1支",25.00,六珍液 山楂酒 老山楂酒甜酒 7080小时候的味道东北特产餐前低度果酒 女士酒 500ml 山楂酒 500ml 2瓶+送人参1支,66679158118, ,0.8kg,空,3%-7%vol,瓶装,375mL-749mL,其他,酒吧夜店，野餐出游，自斟自饮,发酵果酒
"
仙的（Xiandi）果也西柚果酒低度微醺少女甜酒果汁发酵6度355ml单瓶装",48.00,仙的果也,100020818368,空,0.75kg,中国大陆,3%-7%vol,瓶装,375mL以下,其他,闺蜜私语，朋友小聚，自斟自饮,发酵果酒
"
白鸟花果酒系列酒桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数小瓶装6度桂花米酒200mL",79.00,白鸟花果酒系列酒 桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数 小瓶装 6度 桂花米酒 200mL,10021437061258, ,0.56kg,中国大陆,3%-7%vol,礼盒装,375mL以下,青梅，其他,礼节拜访，朋友小聚，商务宴请,发酵果酒
"
醉鹅娘狮子歌歌柚子荔枝清酒女士微醺果酒甜酒糯米酒4支混合装青熟+柚子+荔枝+芽茶",227.00,醉鹅娘 狮子歌歌柚子荔枝清酒女士微醺果酒甜酒糯米酒 4支混合装 青熟+柚子+荔枝+芽茶,69251644362, ,2.0kg,中国大陆,3%-7%vol,其它,375mL-749mL,其他,闺蜜私语,发酵果酒
"
三生石新品白桃果酒甜酒女士少女高颜值礼品果酒女士低度甜酒",88.00,三生石新品白桃果酒甜酒女士少女高颜值礼品果酒女士低度甜酒,10021202042406, ,1.0kg,空,3%-7%vol,其它,375mL-749mL,桃子,闺蜜私语,发酵果酒
"
白鸟花果酒系列酒桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数小瓶装6度玫瑰米酒200mL",79.00,白鸟花果酒系列酒 桂花玫瑰青梅酒糯米精酿女士酒清酒甜酒6度低度数 小瓶装 6度玫瑰米酒 200mL,10021437061259, ,0.56kg,中国大陆,3%-7%vol,礼盒装,375mL以下,青梅，其他,礼节拜访，朋友小聚，商务宴请,发酵果酒
"
",89.00,老山楂酒水果配制酒山楂饮料30年前的味道3L装4度 1桶3L装,10030197739422, ,1.0kg,空,3%-7%vol,其它,750mL-1.5L,桑葚,婚宴用酒,发酵果酒
